[378238657.517108, 55899656.57458098, 53639673.28722414, 161304132.9998679, 145273676.8849244, 135102446.7814764, 105605434.6090622, 115787834.4251541, 100092844.7814774, -34325037.12656828, -35815092.82771756, -18717723.31047634, 7111309.655040056, 31398411.08032724, 1254388.850442577, 171123188.8734299, 159542061.425156, 146157403.1377975, -109952616.0116264, -107001253.9081778, -116078118.9081791, -51037993.81622399, -62415127.90817703, -118293466.5058797, -179819253.8622007, -175340103.6667987, -187070131.2415095, 24896041.36768376, 19421046.54009764, 9153275.632052247, -116916482.9886375, -93386132.5978336, -99930142.42541918, 293291144.2872255, -38916151.81622375, -26275898.58633925, -35880390.1150737, -79338800.12656903, -87880012.09208624, -60431584.7357643, -57511839.86220092, 64872220.20676456, 70265685.19527026, 75892103.16078636, -42690478.97714368, -47122765.23001717, -61978033.35645374, 92403367.73549922, 106211612.5286022, 111996839.3676842, -90575529.56334916, -99162939.81622449, -103068683.1265694, -20581748.82771834, -49176585.37944135, -45408416.5403616, 296912492.5171119, 24135729.20676398, 11806460.22975279, -72812651.52886806, -73523391.10358021, -74046738.80472907, -10306313.27599427, -20635660.34496012, -18903137.70128122, -110538710.9541551, -117400180.5518559, -113560585.2530053, 169672295.264237, 163961251.7699803, 134833161.5286033, 188862181.6895273, 174374065.0458463, -230622631.9426614, 172214878.6435475, 133300971.9768783, 165092867.3791788, -94615999.98863854, -93756389.98863775, -112964117.207031, -62306314.47139528, -74027580.03461509, -74255843.72427005, -77156410.60932736, -109163553.3679489, -142630897.2415113, -135775168.8047318;
 55899656.57458098, 203825862.6320562, 162151304.3446942, -51221776.94265997, -60884984.05760266, -49794993.16105063, -50421600.33346568, -50239364.51737219, -46651453.16105091, 12234735.93090224, 14268803.22975301, 27497525.74699431, -24086054.28748866, 10960737.13779901, 33453894.90791332, -79760616.06909677, -76300221.51737487, -68451181.80473033, -63592106.95415452, -56085417.85070647, -59220104.85070742, 87262856.24124774, 87129610.14929248, 46616567.55159302, -34953844.80472953, -19566694.60932818, -22301004.18404056, 28591976.42515507, 46195596.59756961, 49464259.68952288, -46201286.93116669, -38523692.5403619, -35021286.36794829, 17890182.34469527, 97412131.24124801, 100775856.4711309, 98787791.9423956, 32652401.93090194, 9139556.9653857, 11706145.32170687, 3692379.195270978, -68485635.73576428, -72840674.74725859, -75417490.78174131, 1260866.080327443, 3761652.827454288, 112714.7010173762, -61610384.20702837, -82168732.41392489, -99120585.57484481, 8177283.494121017, 6880071.241247268, -3853751.069097515, 27219023.22975299, 53087751.67802932, 15611673.5171099, -22341320.42541994, 74792443.26423578, 105154443.287224, 14645277.5286034, 16387613.95389029, 26306541.25274099, 130721704.7814748, 129035112.7125104, 127791545.356188, -23948582.89668457, -30377014.49438564, -38156678.19553498, -43150624.67829181, -42516835.17254555, -49319507.41392453, 5188706.746994541, 135082.1033158979, -145332390.8851905, -122096025.2989842, -139051242.9656503, -97651440.5633516, -37446800.93116478, -33103425.93116728, -39814781.1495569, 55535148.58607484, 60721210.02285761, 61041611.33320215, 64500922.44814457, 8852737.68952306, 10898509.81596001, 15652130.25274149;
 53639673.28722414, 162151304.3446942, 248514852.0573414, -42178935.23001579, -58187279.34495857, -43563932.44840761, -63028174.62082136, -56930620.80472958, -9417640.448408233, 8973292.643545903, 10004770.94239612, 7497115.459638026, -26775859.57484566, 20513082.8504427, 41489625.62055717, -77477114.35645379, -75930875.80473028, -65604972.09208507, -70542924.24151097, -70189618.13806377, -55326953.13806326, 69468416.95389244, 92624416.86193708, 52029639.26423625, -41439124.09208603, -25847077.89668402, -25044506.47139681, 20575104.1377988, 39975128.31021298, 48324786.40216709, -52625831.21852282, -60052290.82771801, -47677168.6553044, 19091807.05733861, 90338101.95389137, 89997911.18377441, 114334357.6550399, 6110611.643545923, 1972554.678028785, 14412909.03435079, 34536216.90791495, -44139733.02312075, -56541011.03461425, -63001015.06909666, -14425124.20702859, -11646011.45990215, -8135520.586339051, -29229278.49438502, -58190969.70128058, -75985361.86220065, 6373925.20676428, 314474.9538907868, 782839.6435460077, 19500260.94239629, 37496824.39067309, 10602144.22975316, -17558594.71277608, 40639543.97687926, 74190159.9998692, -4519866.758752868, -179462.3334655334, 18963253.96538482, 103820111.4941194, 103392725.4251554, 131671961.0688311, -43635260.18404096, -44965178.7817415, -54492684.48289036, -45881609.96564769, -46657771.45990191, -62794422.70128115, 12663360.45963826, 6858713.815959822, -117961714.1725468, -102069208.5863392, -115429786.2530065, -89939666.85070781, -33167133.21852313, -31855661.21852369, -32301544.43691423, 26027187.29871777, 103585105.7354986, 104651842.0458432, 101348819.1607854, -3840117.597833721, 22627676.52860343, 4297998.965384959;
 161304132.9998679, -51221776.94265997, -42178935.23001579, 251755047.4826244, 221166589.3676883, 215575073.2642406, 90612452.09182243, 93979467.90791374, 79771704.26423506, -13278154.64381003, -21691108.34496013, -45792892.82771796, 704164.1377990603, -19135186.43691406, -27610165.66679823, 161558366.3561894, 152690325.9079137, 132966679.620556, -37912691.52886764, -55604962.42541934, -48099396.42541966, -81141330.33346574, -84753228.42542066, -83343857.02312097, -121476999.3794426, -122265101.1840395, -121143247.7587527, 18111935.85044277, 11200509.02285645, 10136904.11481039, -36158669.50587916, -26687154.11507462, -36015821.94266096, 129903019.7699827, -90115433.33346608, -86982855.10358113, -87664097.63231708, -71237086.64380994, -73903345.60932736, -56538133.25300564, -52158834.37944214, 79800581.68952276, 83716241.67802872, 87276013.64354624, -17329107.49438508, -2457474.747259155, 13015377.12630418, 80535902.2182595, 106133138.0113613, 125722955.8504413, -64781089.08059092, -87234413.33346617, -67555141.64380996, 12127749.65503983, -42647650.89668366, -9245342.057603248, 185493095.999869, -20639407.31047701, -43345554.28748744, -61549320.04610799, -63944449.62082123, -71143916.32197185, -94045968.79323594, -87669709.86220226, -82500174.21852312, -58533880.47139651, -64332603.0690977, -60598516.7702473, 118484785.7469948, 117566698.2527407, 103718959.0113615, 101062044.1722806, 93764913.52860259, -80153078.45990256, 157084269.1263035, 132610700.4596362, 148969524.8619358, -71623965.50587793, -77562934.5058798, -73315516.72427088, -85195036.98863734, -15934362.55185659, -62705876.24151083, -67657348.12656899, -105935475.8851897, -126465428.7587544, -118306113.3219721;
 145273676.8849244, -60884984.05760266, -58187279.34495857, 221166589.3676883, 238283015.2527421, 202270404.1492924, 95287596.97687833, 97941330.79297125, 77666691.1492929, -23755892.75875314, -29527200.45990264, -44237521.94266067, 4193354.022856079, -8987651.551856274, -21765181.7817409, 165482630.2412459, 154069005.7929727, 132952294.5056146, -20403735.64381046, -33147275.54036203, -42152377.5403619, -85491368.44840874, -86498849.54036385, -89914558.1380633, -100646578.4943851, -101231893.2989823, -103111841.8736955, 7608085.735500039, -1463771.092086405, -4506612.0001321, -41619001.62082186, -24245938.2300172, -38046375.05760352, 119322228.6550396, -91675952.44840929, -89959228.21852335, -88988811.74726021, -60864899.75875291, -59464958.72427017, -44087103.36794871, -44166674.49438515, 75818201.57458031, 81064119.56308585, 86060481.52860327, -25805310.60932779, -13715704.8622017, 7792851.011361965, 79228255.10331658, 100632005.8964189, 122144224.7354991, -61403715.19553344, -78412151.4484068, -64136999.75875238, -2161894.459901965, -54192264.01162671, -24082612.17254622, 172790172.884926, -34682976.42541947, -54174082.40243027, -52251740.16105137, -59525351.73576324, -84087766.43691288, -95370516.90818083, -89927725.97714441, -81598825.33346705, -45892622.58633927, -54268440.1840403, -44649517.88518944, 127951098.6320505, 125417034.137797, 105537659.8964188, 79760917.05733641, 71022605.4136584, -74962573.5748447, 161376453.0113599, 129172247.3446939, 151864638.7469947, -55825709.6208207, -60844365.62082063, -60179675.83921169, -81029637.10357916, -27889480.66679864, -66120418.35645366, -68071796.24151142, -100558231.000133, -114078997.8736974, -110215248.4369149;
 135102446.7814764, -49794993.16105063, -43563932.44840761, 215575073.2642406, 202270404.1492924, 238114601.0458479, 75602936.87343068, 76913229.68952237, 75662424.0458446, -3583650.862200986, -18196460.5633506, -47535768.04610809, -7743043.080591684, -17393035.65530491, -18760961.88518965, 129806008.1377977, 124171907.689522, 118894963.4021656, -18828951.74725874, -38991860.64380989, -16229936.64381022, -79927776.55185603, -74538640.64381166, -61723116.24151169, -105905381.5978337, -112338637.402431, -99817657.97714275, -2902143.367948036, 11513102.80446561, 12978942.89641945, -17088901.72427025, -20792297.33346587, -30277680.16105181, 104253446.5515916, -83877185.55185817, -82868802.32197261, -78828558.85070747, -62388053.86220092, -74078553.82771833, -58558237.47139639, -54398562.59783317, 77721889.47113293, 77323647.45963773, 87344815.4251546, -17353412.71277564, -10554269.9656498, 16779779.90791409, 81086161.99986826, 106591458.7929715, 120400619.6320514, -54384555.29898219, -72332528.55185744, -56809812.86220026, 7058416.436649372, -38298544.11507497, -3261008.275994244, 141592390.7814755, -33388591.52886812, -42191693.50587851, -71192665.26450025, -74271040.83921133, -53509317.54036182, -89626661.01162802, -85259908.08059262, -63123637.4369139, -58429356.68978737, -64229171.28748878, -58880922.9886377, 92418781.52860332, 91592592.03435032, 97257165.79297151, 78138945.95389046, 72820213.31021066, -86697369.67829406, 127974875.9079134, 117221089.2412475, 120333039.6435437, -47732748.72426935, -59963944.7242695, -54248430.9426598, -79909885.20702881, -13102193.77024754, -50976092.4599019, -57623829.34495908, -81892014.10357977, -85193293.97714524, -89145687.54036129;
 105605434.6090622, -50421600.33346568, -63028174.62082136, 90612452.09182243, 95287596.97687833, 75602936.87343068, 236088282.7010165, 219752681.5171116, 183915276.8734321, -124499.0346148272, 1192905.264235689, 15132561.78147712, -12400048.25300567, 47638581.17228201, 42118542.94239684, 111126294.9653836, 107001977.5171085, 102894409.2297529, -78283873.91967209, -80414717.81622393, -82030846.81622452, -55578957.7242697, -43823104.81622347, -125001283.4139265, -108334063.7702472, -109430343.5748453, -112505720.1495584, 33184166.45963768, 18919615.63205181, 3198960.724005785, -49376463.89668378, -46628602.50587889, -62725078.33346528, 112199812.3791776, -36496293.72426951, -43031264.49438497, -33090723.02312049, -98194702.0346161, -8107446.000132181, -11537991.64381038, -17615485.77024691, 82371525.29871814, 80405010.28722335, 85449485.25274061, -35753534.88518958, -36831089.13806234, -55322500.26449957, 121483918.8274535, 108109725.6205564, 97923184.45963627, -28814630.47139674, -31614362.72426993, -39020940.03461475, -73642599.73576433, -24394272.28748905, -45109992.44840727, 127222445.6090619, -37329842.70128189, -18770934.6782936, -81380100.43691395, -77835619.01162763, -77356348.71277711, -42353680.18404029, -45333743.25300596, -32274021.60932778, -66823843.86220021, -74052278.45990256, -71686330.16105199, 94610590.35618922, 91519072.86193776, 90850484.62055711, 74583178.78147711, 67307215.13779926, 75342871.14929336, 136723402.7354996, 108811020.0688305, 128375329.4711323, -86961320.89668317, -89361656.89668326, -95695073.11507537, -26872149.37944246, -67649469.94266006, -81100080.63231543, -74430082.51737393, -106627366.2759943, -104950767.1495573, -115031032.7127751;
 115787834.4251541, -50239364.51737219, -56930620.80472958, 93979467.90791374, 97941330.79297125, 76913229.68952237, 219752681.5171116, 234471090.3332033, 196268396.6895248, -11477084.21852308, -10944153.91967237, 17326329.59756909, -11365240.4369135, 64813153.98837426, 49241757.75848801, 118329464.7814751, 113832430.3331997, 108204762.045845, -88219153.10357951, -89683057.00013232, -88567189.00013246, -62307544.90817801, -47686898.00013188, -135661814.5978353, -115052273.9541551, -118733952.7587534, -121576806.3334652, 32353360.27572946, 17692509.44814396, 2134160.540097807, -53133409.08059156, -50087722.68978746, -61262019.51737305, 119101364.1952695, -36949261.90817808, -44558807.67829211, -29982016.20702848, -105388573.2185237, -1036386.184040261, 3983924.172281759, 1542550.045845096, 92194110.11481006, 91534560.10331619, 91990417.06883295, -35789950.06909791, -41248102.321971, -63191879.44840735, 129614059.6435448, 111513861.4366483, 101249052.2757293, -29603605.65530506, -30173609.9081783, -42027508.21852262, -83013005.91967374, -25617725.47139699, -52703409.63231549, 141719157.4251549, -45982393.88518928, -23784008.86220144, -90402596.62082356, -85439962.19553427, -84700239.89668587, -40996511.36794753, -47805302.43691418, -27637050.79323579, -74395429.04610917, -78521459.64381036, -76633368.34495975, 97320452.17228179, 91793888.67802784, 93055159.43664779, 82010479.59756868, 76855134.95389055, 80782360.96538489, 144280987.5515925, 114716695.8849242, 134360764.287223, -97002150.0805914, -97629135.08059116, -105666108.2989825, -30484546.56335051, -70764577.1265692, -76534198.81622383, -70314131.70128155, -110956113.4599029, -108086426.3334661, -120713082.8966847;
 100092844.7814774, -46651453.16105091, -9417640.448408233, 79771704.26423506, 77666691.1492929, 75662424.0458446, 183915276.8734321, 196268396.6895248, 260241603.0458472, -7185429.86220103, -11836365.56335041, 893765.9538907895, -16405012.0805922, 71577647.34469558, 65000572.11481178, 89810082.13779894, 86712583.68952324, 95973135.40216602, -98888683.74725846, -102858620.6438106, -81240870.64380902, -59660785.5518559, -35457926.64381006, -123418731.2415108, -115250732.5978335, -128349896.4024316, -118481750.9771443, 18747827.63205164, 26813114.80446562, 18585736.89641954, -46157814.72426989, -61504545.33346435, -59773464.16105206, 99520957.55159247, -30113007.55185609, -37258324.32197101, -7986738.850706719, -117840858.8622015, -3601075.827718355, 893671.5286036182, 9592363.402166955, 117143526.4711304, 104917332.4596384, 108240268.4251544, -44823060.71277587, -53499497.96564791, -68130480.0920869, 150831799.9998681, 126850848.7929699, 104923805.6320509, -21078099.29898261, -27265606.55185626, -30083627.86220123, -81618925.56335153, -18588877.1150754, -47774557.27599358, 112013536.7814753, -65988951.528869, -31856880.50587897, -97095421.26450029, -90295838.83921316, -66555458.54036159, -48770217.01162533, -58908775.08059192, -10386677.43691353, -94133920.68978822, -92585064.28748897, -97310600.98863806, 76507938.52860293, 67908671.03435098, 74408589.79297103, 74627941.95389046, 75417929.31021285, 81381806.32170491, 132579692.9079123, 118396505.2412456, 110840300.6435453, -89048435.72426973, -97054040.72426896, -102887896.9426615, -40388528.20702858, -44838682.77024693, -34627250.45990211, -36901804.34495945, -105922234.1035812, -75525399.97714394, -101446352.540363;
 -34325037.12656828, 12234735.93090224, 8973292.643545903, -13278154.64381003, -23755892.75875314, -3583650.862200986, -124499.0346148272, -11477084.21852308, -7185429.86220103, 158539525.2297519, 106293139.5286011, 67534334.04584694, -20164014.98863791, -15394105.56335043, 44419360.20676453, -56733407.77024703, -48125913.21852237, -22409665.50587987, -1656565.655304829, -18426501.55185667, 14061776.44814347, 12142015.54009787, 25464167.44814339, 53447522.85044253, -55229143.50587897, -31587562.3104769, -5590959.885189661, 26052119.72400573, 60022857.89642019, 69505950.98837298, 8063884.367683724, -11545977.24151136, -1608515.069097774, -48895785.35645214, 30952272.54009711, 28145208.76998265, 26064640.24124733, -18049832.77024729, -12253673.73576463, -42071440.37944241, -63735576.50587916, -17398170.43691354, -26155604.4484079, -22128085.48289067, -6098998.620821606, -2596502.873695585, 3984112.999868088, -7039691.90817811, 5412515.884925393, -7977934.27599432, 30903721.79297076, 18789250.54009743, 34472156.22975329, 10794083.52860379, 35166574.97688025, 39423971.81596027, -64819022.12656904, 1618028.563086305, 25251512.58607441, 7888258.827453918, 12545058.25274142, 36808029.55159218, -4041476.919672226, 83877.01136240481, 19212509.65504005, 885854.4021670863, -2321125.195534385, -11318654.89668377, -53002892.37944236, -48778411.87369507, -38384062.11507484, -62981283.95415352, -61063784.59783246, -44107313.58633868, -57112583.00013099, -62887014.66679791, -48118208.26449957, 5838918.367684006, -428392.6323159158, 9417555.149293477, 21589732.88492503, 21327921.3217071, 21457112.63205179, 18055483.74699443, 14745922.98837367, 40558733.11481004, 27819902.55159216;
